㐷	傌
㐽	偑
㑇	㑳
㑈	倲
㑔	㑯
㑩	儸
㓆	𠗣
㓥	劏
㓰	劃
㔉	劚
㖊	噚
㖞	喎
㘎	㘚
㚯	㜄
㛀	媰
㛟	𡞵
㛠	𡢃
㛣	㜏
㛤	孋
㛿	𡠹
㟆	㠏
㟜	𡾱
㟥	嵾
㡎	幓
㤘	㥮
㤽	懤
㥪	慺
㧏	掆
㧐	㩳
㧑	撝
㧟	擓
㧰	擽
㨫	㩜
㭎	棡
㭏	椲
㭣	𣙎
㭤	樢
㭴	樫
㱩	殰
㱮	殨
㲿	瀇
㳔	濧
㳕	灡
㳠	澾
㳡	濄
㳢	𣾷
㳽	瀰
㴋	潚
㶉	鸂
㶶	燶
㶽	煱
㺍	獱
㻅	璯
㻏	𤫩
㻘	𤪺
䀥	䁻
䁖	瞜
䂵	碽
䃅	磾
䅉	稏
䅟	穇
䅪	𥢢
䇲	筴
䉤	籔
䌶	䊷
䌷	紬
䌸	縳
䌹	絅
䌺	䋙
䌻	䋚
䌼	綐
䌽	綵
䌾	䋻
䌿	䋹
䍀	繿
䍁	繸
䍠	䍦
䎬	䎱
䏝	膞
䑽	𦪙
䓓	薵
䓕	薳
䓖	藭
䓨	罃
䗖	螮
䘛	𧝞
䘞	𧜗
䙊	𧜵
䙌	䙡
䙓	襬
䜣	訢
䜤	鿁
䜥	𧩙
䜧	䜀
䜩	讌
䝙	貙
䞌	𧵳
䞍	䝼
䞎	𧶧
䞐	賰
䟢	躎
䢀	𨊰
䢁	𨊸
䢂	𨋢
䥺	釾
䥽	鏺
䥾	䥱
䥿	𨯅
䦀	𨦫
䦁	𨧜
䦂	䥇
䦃	鐯
䦅	鐥
䦆	钁
䦶	䦛
䦷	䦟
䩄	靦
䭪	𩞯
䯃	𩣑
䯄	騧
䯅	䯀
䲝	䱽
䲞	𩶘
䲟	鮣
䲠	鰆
䲡	鰌
䲢	鰧
䲣	䱷
䴓	鳾
䴔	鵁
䴕	鴷
䴖	鶄
䴗	鶪
䴘	鷉
䴙	鸊
准	準
䶮	龑
与	與
专	專
业	業
丛	叢
东	東
丝	絲
丢	丟
两	兩
严	嚴
丧	喪
临	臨
为	爲
丽	麗
举	舉
义	義
乌	烏
乐	樂
乔	喬
习	習
乡	鄉
书	書
买	買
乱	亂
争	爭
亏	虧
亚	亞
产	產
亩	畝
亵	褻
亸	嚲
亿	億
仅	僅
从	從
仓	倉
仪	儀
们	們
众	衆
优	優
会	會
伛	傴
伞	傘
伟	偉
传	傳
伡	俥
伣	俔
伤	傷
伥	倀
伦	倫
伧	傖
伪	僞
伫	佇
体	體
佥	僉
侠	俠
侣	侶
侥	僥
侦	偵
侧	側
侨	僑
侩	儈
侪	儕
侬	儂
侭	儘
俣	俁
俦	儔
俨	儼
俩	倆
俪	儷
俫	倈
俭	儉
债	債
倾	傾
偬	傯
偻	僂
偾	僨
偿	償
傤	儎
傥	儻
傧	儐
储	儲
傩	儺
儿	兒
兑	兌
兖	兗
兰	蘭
关	關
兴	興
兹	茲
养	養
兽	獸
冁	囅
内	內
冈	岡
册	冊
写	寫
军	軍
农	農
冯	馮
决	決
况	況
冻	凍
净	淨
凉	涼
减	減
凑	湊
凛	凜
凤	鳳
凫	鳧
凭	憑
凯	凱
